"","JDate","Year","X","unitbox","RFID","Seconds","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","UniqueRecord","FullTime","Hours","HoursSq","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Sc.Seconds","Sc.Year","Sc.DOY","Sky.Cov.x","cloud","Sky.Cov.y","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"33",149,2016,44,"2103","0418941B5C",23539,"103","041868E6D5","0418941B5C","Yes","5/27/16",-3,"0418941B5C_149_23539",12897139,6.53861111111111,42.7534352623457,"M",22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,1.91163271524479,16,-1.81419246421456,0.5,0.14,0.14,12877080,12826140,12896520,12861120,12893580,32460,-50940,"rise",16500
"34",149,2016,41,"277","041868D041",20370,"77","04186ED2D1","041868D041","Yes","5/25/16",1,"041868D041_149_20370",12893970,5.65833333333333,32.0167361111111,"M",22201,"Short Cort",50.6,"Ithaca","2016-05-25",146,146,166,0.0345255718901908,16,-1.81419246421456,0.5,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"35",149,2016,42,"2103","0418941B5C",23539,"103","041868E6D5","0418941B5C","Yes","5/27/16",-3,"0418941B5C_149_23539",12897139,6.53861111111111,42.7534352623457,"M",22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,1.91163271524479,16,-1.81419246421456,0,0.14,0.14,12877080,12826140,12896520,12861120,12893580,32460,-50940,"rise",16500
"36",149,2016,36,"2118","04186ED791",22554,"118","0419179244","04186ED791","Yes","5/24/16",3,"04186ED791_149_22554",12896154,6.265,39.250225,"M",22201,"Low Tape",50.6,"Ithaca","2016-05-24",145,145,165,1.32818350849052,16,-1.81419246421456,0,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"37",149,2016,39,"277","041868D041",20370,"77","04186ED2D1","041868D041","Yes","5/25/16",1,"041868D041_149_20370",12893970,5.65833333333333,32.0167361111111,"M",22201,"Short Cort",50.6,"Ithaca","2016-05-25",146,146,166,0.0345255718901908,16,-1.81419246421456,0,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"38",149,2016,40,"277","041868D041",20370,"77","04186ED2D1","041868D041","Yes","5/25/16",1,"041868D041_149_20370",12893970,5.65833333333333,32.0167361111111,"M",22201,"Short Cort",50.6,"Ithaca","2016-05-25",146,146,166,0.0345255718901908,16,-1.81419246421456,0.2,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"39",149,2016,37,"2118","04186ED791",22554,"118","0419179244","04186ED791","Yes","5/24/16",3,"04186ED791_149_22554",12896154,6.265,39.250225,"M",22201,"Low Tape",50.6,"Ithaca","2016-05-24",145,145,165,1.32818350849052,16,-1.81419246421456,0.2,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"40",149,2016,38,"2118","04186ED791",22554,"118","0419179244","04186ED791","Yes","5/24/16",3,"04186ED791_149_22554",12896154,6.265,39.250225,"M",22201,"Low Tape",50.6,"Ithaca","2016-05-24",145,145,165,1.32818350849052,16,-1.81419246421456,0.5,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"41",150,2015,57,"2111","041868C602",21049,"111","041894557D","041868C602","Yes","5/29/15",1,"041868C602_150_21049",12981049,5.84694444444444,34.1867593364198,"M",22500,"Long",93.1,"Ithaca","2015-05-29",149,149,169,0.436720507307601,15,-1.69801184910734,0,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"42",150,2015,58,"2111","041868C602",21049,"111","041894557D","041868C602","Yes","5/29/15",1,"041868C602_150_21049",12981049,5.84694444444444,34.1867593364198,"M",22500,"Long",93.1,"Ithaca","2015-05-29",149,149,169,0.436720507307601,15,-1.69801184910734,1,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
