"","X","Illumination","JDate","starttime","endtime","site","NestNumber","Year","nest","Sunrise","Sunset","Illumination.sc","dayofyear.sc","starttime.sc","endtime.sc","starttime.sq","starttime.sqrt","starttime.log","starttime.sqrtsc","Sunrisetime.sc","Sunsettime.sc","FullTime","sunrise_c","sunset_c","moonrise_c","moonset_c","merid_c","nightlength","moonlength","rise_set_later","brightnight"
"239",369,51.2,157,19440,77100,"AK","AK16",2007,16,19396,1168,-0.457902430145326,0.397044918622102,-0.209784252726597,-0.188608556713374,377913600,139.427400463467,9.87508807801443,-0.183520558102915,0.0372077605296571,-1.09958090353672,13584240,13584196,13565968,13572900,13512840,13497480,18228,-60060,"rise",11296
"240",370,39.4,158,22800,78180,"AK","AK16",2007,16,19496,1088,-0.837147462519769,0.489316731063402,1.10126819705843,0.0762431736376968,519840000,150.996688705415,10.0345158149425,1.11556240914796,0.0857054428712542,-1.10175255057292,13674000,13670696,13652288,13659120,13604760,13586880,18408,-54360,"rise",11576
"241",371,28.1,159,20460,79800,"AK","AK16",2007,16,19599,1003,-1.20032279013258,0.581588543504702,0.188213812386715,0.473520769164303,418611600,143.03845636751,9.92622703950562,0.22195479358932,0.135658055683099,-1.10405992554888,13758060,13757199,13738603,13745400,13695240,13676160,18596,-50160,"rise",11799
"242",372,18,160,27780,78720,"AK","AK16",2007,16,19707,913,-1.52493082631749,0.673860355946002,3.04443522084695,0.208669038813232,771728400,166.673333200005,10.2320716163083,2.87584890393241,0.188035552612024,-1.10650302846461,13851780,13843707,13824913,13846020,13786860,13765380,18794,-59160,"rise",0
"243",373,9.7,161,20100,72840,"AK","AK16",2007,16,19818,818,-1.79168792536053,0.766132168387302,0.0477439070526044,-1.23330149309815,404010000,141.774468787578,9.90847509404717,0.0800251690898597,0.241867980011197,-1.10908185932009,13930500,13930218,13911218,13918620,13879320,13869060,19000,-39300,"rise",11598
"244",374,3.8,162,24480,68340,"AK","AK16",2007,16,19933,720,-1.98131044154775,0.858403980828602,1.75679442195094,-2.33685036956095,599270400,156.460857724864,10.1056117366263,1.72911864138082,0.297640314704033,-1.11174212693944,14021280,14016733,13997520,14004060,13972080,13944000,19213,-31980,"rise",12673
"245",375,0.7,163,22140,76980,"AK","AK16",2007,16,20051,617,-2.08094261106985,0.950675793269902,0.843740037279228,-0.218036526752381,490179600,148.795161211647,10.0051412062626,0.868359054085987,0.354867579867118,-1.11453812249854,14105340,14103251,14083817,14090520,14065260,14033520,19434,-25260,"rise",12731
"246",376,0.3,164,20460,76920,"AK","AK16",2007,16,20172,510,-2.09379837487915,1.0429476057112,0.188213812386715,-0.232750511771885,418611600,143.03845636751,9.92622703950562,0.22195479358932,0.41354977550045,-1.11744270040946,14190060,14189772,14170110,14176980,14158920,14123340,19662,-18060,"rise",12792
"247",377,2.4,165,22440,79920,"AK","AK16",2007,16,20296,399,-2.02630561488031,1.1352194181525,0.96079829172432,0.50294873920331,503553600,149.799866488592,10.0186003596366,0.981174595119367,0.473686901604031,-1.12045586067218,14278440,14276296,14256399,14263860,14252700,14213340,19897,-11160,"rise",12436
"248",378,6.9,166,21480,75300,"AK","AK16",2007,16,20423,284,-1.88167827202565,1.2274912305938,0.586211877500026,-0.630028107298491,461390400,146.56056768449,9.9748775486228,0.617442806763781,0.535278958177859,-1.12357760328672,14363880,14362823,14342684,14352600,14344860,14303580,20139,-7740,"rise",10223
