"","JDate","Year","unitbox","RFID","X","Dayyearbird","totalTime","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Dayyear","Sc.Year","Sc.DOY","Sc.totalTime","cloud","Sky.Cov.y","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"30",148,2015,"2126","0418942DBA",110,"148_2015_0418942DBA",57002,"126","0418942DBA","0418945C34","Yes","5/24/15",4,FALSE,21904,"High",79.8,"Ithaca","2015-05-24",144,144,164,"148_2015",15,-1.66180762326969,0.40604344970112,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"31",148,2015,"2126","0418942DBA",110,"148_2015_0418942DBA",57002,"126","0418942DBA","0418945C34","Yes","5/24/15",4,FALSE,21904,"High",79.8,"Ithaca","2015-05-24",144,144,164,"148_2015",15,-1.66180762326969,0.40604344970112,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"32",148,2015,"221","0417939ADB",90,"148_2015_0417939ADB",56652,"21","0417939ADB","","Yes","5/25/15",3,FALSE,21904,"Long",79.8,"Ithaca","2015-05-25",145,145,165,"148_2015",15,-1.66180762326969,0.371409512514308,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"33",148,2015,"221","0417939ADB",90,"148_2015_0417939ADB",56652,"21","0417939ADB","","Yes","5/25/15",3,FALSE,21904,"Long",79.8,"Ithaca","2015-05-25",145,145,165,"148_2015",15,-1.66180762326969,0.371409512514308,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"34",148,2015,"221","0417939ADB",90,"148_2015_0417939ADB",56652,"21","0417939ADB","","Yes","5/25/15",3,FALSE,21904,"Long",79.8,"Ithaca","2015-05-25",145,145,165,"148_2015",15,-1.66180762326969,0.371409512514308,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"35",148,2015,"237","041868F3AD",100,"148_2015_041868F3AD",53969,"37","041868F3AD","04186EB580","Yes","5/27/15",1,FALSE,21904,"High",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",15,-1.66180762326969,0.10591564545083,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"36",148,2015,"237","041868F3AD",100,"148_2015_041868F3AD",53969,"37","041868F3AD","04186EB580","Yes","5/27/15",1,FALSE,21904,"High",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",15,-1.66180762326969,0.10591564545083,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"37",148,2015,"237","041868F3AD",100,"148_2015_041868F3AD",53969,"37","041868F3AD","04186EB580","Yes","5/27/15",1,FALSE,21904,"High",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",15,-1.66180762326969,0.10591564545083,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"38",148,2015,"265","0417937522",80,"148_2015_0417937522",54504,"65","0417937522","04189423AE","Yes","5/27/15",1,FALSE,21904,"Long",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",15,-1.66180762326969,0.158856092293528,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"39",148,2015,"265","0417937522",80,"148_2015_0417937522",54504,"65","0417937522","04189423AE","Yes","5/27/15",1,FALSE,21904,"Long",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",15,-1.66180762326969,0.158856092293528,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"40",148,2015,"265","0417937522",80,"148_2015_0417937522",54504,"65","0417937522","04189423AE","Yes","5/27/15",1,FALSE,21904,"Long",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",15,-1.66180762326969,0.158856092293528,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"41",148,2016,"2118","0419179244",150,"148_2016_0419179244",53798,"118","0419179244","04186ED791","Yes","5/24/16",2,FALSE,21904,"Low Tape",61.8,"Ithaca","2016-05-24",145,145,165,"148_2016",16,-1.66180762326969,0.0889944932824158,0.16,0.16,12788340,12646200,12807120,12688260,12807180,118920,-142140,"rise",18840
"42",148,2016,"2118","0419179244",150,"148_2016_0419179244",53798,"118","0419179244","04186ED791","Yes","5/24/16",2,FALSE,21904,"Low Tape",61.8,"Ithaca","2016-05-24",145,145,165,"148_2016",16,-1.66180762326969,0.0889944932824158,0.16,0.16,12788340,12646200,12807120,12688260,12807180,118920,-142140,"rise",18840
"43",148,2016,"277","04186ED2D1",140,"148_2016_04186ED2D1",55051,"77","04186ED2D1","041868D041","Yes","5/25/16",0,FALSE,21904,"Short Cort",61.8,"Ithaca","2016-05-25",146,146,166,"148_2016",16,-1.66180762326969,0.212983988411204,0.16,0.16,12788340,12646200,12628200,12688260,12807180,118920,-142140,"rise",18840
"44",148,2016,"277","04186ED2D1",140,"148_2016_04186ED2D1",55051,"77","04186ED2D1","041868D041","Yes","5/25/16",0,FALSE,21904,"Short Cort",61.8,"Ithaca","2016-05-25",146,146,166,"148_2016",16,-1.66180762326969,0.212983988411204,0.16,0.16,12788340,12646200,12628200,12688260,12807180,118920,-142140,"rise",18840
"45",149,2015,"211","0418944A22",260,"149_2015_0418944A22",54875,"11","0418944A22","0418942581","Yes","5/27/15",2,FALSE,22201,"High",87.1,"Ithaca","2015-05-27",147,147,167,"149_2015",15,-1.55198866950245,0.195568065711549,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"46",149,2015,"2120","0417F8CBCE",200,"149_2015_0417F8CBCE",54634,"120","0417F8CBCE","","Yes","5/28/15",1,FALSE,22201,"High",87.1,"Ithaca","2015-05-28",148,148,168,"149_2015",15,-1.55198866950245,0.171720126105773,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"47",149,2015,"2126","0418942DBA",240,"149_2015_0418942DBA",55636,"126","0418942DBA","0418945C34","Yes","5/24/15",5,FALSE,22201,"High",87.1,"Ithaca","2015-05-24",144,144,164,"149_2015",15,-1.55198866950245,0.270872140566304,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
