"","JDate","Year","unitbox","RFID","X","Dayyearbird","totalTime","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Dayyear","cloud","Sky.Cov.y","Sc.totalTime","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"61",150,2015,"277","041868D041",220,"150_2015_041868D041",52553,"77","04186EB240","041868D041","Yes","5/27/15",3,"M",22500,"DMSO",93.1,"Ithaca","2015-05-27",147,147,167,"150_2015",0.6,0.6,0.226386354724436,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"62",150,2015,"285","041868BD7F",200,"150_2015_041868BD7F",51727,"85","0418945F71","041868BD7F","Yes","5/29/15",1,"M",22500,"Low",93.1,"Ithaca","2015-05-29",149,149,169,"150_2015",0.6,0.6,0.15897040280331,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"63",150,2015,"285","041868BD7F",200,"150_2015_041868BD7F",51727,"85","0418945F71","041868BD7F","Yes","5/29/15",1,"M",22500,"Low",93.1,"Ithaca","2015-05-29",149,149,169,"150_2015",0.6,0.6,0.15897040280331,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"64",150,2015,"285","041868BD7F",200,"150_2015_041868BD7F",51727,"85","0418945F71","041868BD7F","Yes","5/29/15",1,"M",22500,"Low",93.1,"Ithaca","2015-05-29",149,149,169,"150_2015",0.6,0.6,0.15897040280331,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"65",150,2016,"2103","0418941B5C",345,"150_2016_0418941B5C",48123,"103","041868E6D5","0418941B5C","Yes","5/27/16",-2,"M",22500,"DMSO",39,"Ithaca","2016-05-27",148,148,168,"150_2016",0.455555555555556,0.455555555555556,-0.135178617443344,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"66",150,2016,"2103","0418941B5C",345,"150_2016_0418941B5C",48123,"103","041868E6D5","0418941B5C","Yes","5/27/16",-2,"M",22500,"DMSO",39,"Ithaca","2016-05-27",148,148,168,"150_2016",0.455555555555556,0.455555555555556,-0.135178617443344,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"67",150,2016,"2103","0418941B5C",345,"150_2016_0418941B5C",48123,"103","041868E6D5","0418941B5C","Yes","5/27/16",-2,"M",22500,"DMSO",39,"Ithaca","2016-05-27",148,148,168,"150_2016",0.455555555555556,0.455555555555556,-0.135178617443344,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"68",150,2016,"2103","0418941B5C",345,"150_2016_0418941B5C",48123,"103","041868E6D5","0418941B5C","Yes","5/27/16",-2,"M",22500,"DMSO",39,"Ithaca","2016-05-27",148,148,168,"150_2016",0.455555555555556,0.455555555555556,-0.135178617443344,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"69",150,2016,"2111","041868C602",309,"150_2016_041868C602",53379,"111","041894557D","041868C602","Yes","5/28/16",-1,"M",22500,"Control",39,"Ithaca","2016-05-28",149,149,169,"150_2016",0.455555555555556,0.455555555555556,0.293802306645561,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"70",150,2016,"2111","041868C602",309,"150_2016_041868C602",53379,"111","041894557D","041868C602","Yes","5/28/16",-1,"M",22500,"Control",39,"Ithaca","2016-05-28",149,149,169,"150_2016",0.455555555555556,0.455555555555556,0.293802306645561,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"71",150,2016,"2111","041868C602",309,"150_2016_041868C602",53379,"111","041894557D","041868C602","Yes","5/28/16",-1,"M",22500,"Control",39,"Ithaca","2016-05-28",149,149,169,"150_2016",0.455555555555556,0.455555555555556,0.293802306645561,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"72",150,2016,"2111","041868C602",309,"150_2016_041868C602",53379,"111","041894557D","041868C602","Yes","5/28/16",-1,"M",22500,"Control",39,"Ithaca","2016-05-28",149,149,169,"150_2016",0.455555555555556,0.455555555555556,0.293802306645561,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"73",150,2016,"2118","04186ED791",336,"150_2016_04186ED791",52558,"118","0419179244","04186ED791","Yes","5/24/16",4,"M",22500,"Low Tape",39,"Ithaca","2016-05-24",145,145,165,"150_2016",0.455555555555556,0.455555555555556,0.226794441600472,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"74",150,2016,"2118","04186ED791",336,"150_2016_04186ED791",52558,"118","0419179244","04186ED791","Yes","5/24/16",4,"M",22500,"Low Tape",39,"Ithaca","2016-05-24",145,145,165,"150_2016",0.455555555555556,0.455555555555556,0.226794441600472,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"75",150,2016,"2118","04186ED791",336,"150_2016_04186ED791",52558,"118","0419179244","04186ED791","Yes","5/24/16",4,"M",22500,"Low Tape",39,"Ithaca","2016-05-24",145,145,165,"150_2016",0.455555555555556,0.455555555555556,0.226794441600472,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"76",150,2016,"2118","04186ED791",336,"150_2016_04186ED791",52558,"118","0419179244","04186ED791","Yes","5/24/16",4,"M",22500,"Low Tape",39,"Ithaca","2016-05-24",145,145,165,"150_2016",0.455555555555556,0.455555555555556,0.226794441600472,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"77",150,2016,"230","041868DF81",327,"150_2016_041868DF81",8480,"30","04186E911F","041868DF81","Yes","5/28/16",0,"M",22500,"Short Cort",39,"Ithaca","2016-05-28",149,149,169,"150_2016",0.455555555555556,0.455555555555556,-3.37073622278133,12965640,12916380,12985980,12947580,12979920,32340,-49260,"rise",14280
"78",150,2016,"230","041868DF81",327,"150_2016_041868DF81",8480,"30","04186E911F","041868DF81","Yes","5/28/16",0,"M",22500,"Short Cort",39,"Ithaca","2016-05-28",149,149,169,"150_2016",0.455555555555556,0.455555555555556,-3.37073622278133,12965640,12916380,12985980,12947580,12979920,32340,-49260,"rise",14280
"79",150,2016,"230","041868DF81",327,"150_2016_041868DF81",8480,"30","04186E911F","041868DF81","Yes","5/28/16",0,"M",22500,"Short Cort",39,"Ithaca","2016-05-28",149,149,169,"150_2016",0.455555555555556,0.455555555555556,-3.37073622278133,12965640,12916380,12985980,12947580,12979920,32340,-49260,"rise",14280
"80",150,2016,"230","041868DF81",327,"150_2016_041868DF81",8480,"30","04186E911F","041868DF81","Yes","5/28/16",0,"M",22500,"Short Cort",39,"Ithaca","2016-05-28",149,149,169,"150_2016",0.455555555555556,0.455555555555556,-3.37073622278133,12965640,12916380,12985980,12947580,12979920,32340,-49260,"rise",14280
"81",150,2016,"275","041917CBCB",363,"150_2016_041917CBCB",53381,"75","0418946F4E","041917CBCB","Yes","5/27/16",0,"M",22500,"DMSO",39,"Ithaca","2016-05-27",148,148,168,"150_2016",0.455555555555556,0.455555555555556,0.293965541395976,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"82",150,2016,"275","041917CBCB",363,"150_2016_041917CBCB",53381,"75","0418946F4E","041917CBCB","Yes","5/27/16",0,"M",22500,"DMSO",39,"Ithaca","2016-05-27",148,148,168,"150_2016",0.455555555555556,0.455555555555556,0.293965541395976,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"83",150,2016,"275","041917CBCB",363,"150_2016_041917CBCB",53381,"75","0418946F4E","041917CBCB","Yes","5/27/16",0,"M",22500,"DMSO",39,"Ithaca","2016-05-27",148,148,168,"150_2016",0.455555555555556,0.455555555555556,0.293965541395976,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"84",150,2016,"275","041917CBCB",363,"150_2016_041917CBCB",53381,"75","0418946F4E","041917CBCB","Yes","5/27/16",0,"M",22500,"DMSO",39,"Ithaca","2016-05-27",148,148,168,"150_2016",0.455555555555556,0.455555555555556,0.293965541395976,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"85",150,2016,"277","041868D041",318,"150_2016_041868D041",54344,"77","04186ED2D1","041868D041","Yes","5/25/16",2,"M",22500,"Short Cort",39,"Ithaca","2016-05-25",146,146,166,"150_2016",0.455555555555556,0.455555555555556,0.372563073720484,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"86",150,2016,"277","041868D041",318,"150_2016_041868D041",54344,"77","04186ED2D1","041868D041","Yes","5/25/16",2,"M",22500,"Short Cort",39,"Ithaca","2016-05-25",146,146,166,"150_2016",0.455555555555556,0.455555555555556,0.372563073720484,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"87",150,2016,"277","041868D041",318,"150_2016_041868D041",54344,"77","04186ED2D1","041868D041","Yes","5/25/16",2,"M",22500,"Short Cort",39,"Ithaca","2016-05-25",146,146,166,"150_2016",0.455555555555556,0.455555555555556,0.372563073720484,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
